Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2021-12-28 10:28:42,Bender CO,USD,-50.0,,,EUR,-44.25,-46.214231,,
2021-12-09 01:26:16,Hempostat.Com,USD,-56.66,,,EUR,-50.32,-52.2145135,,
2021-12-03 10:39:31,Hempostat.Com,CHF,-159.38,,,EUR,-153.26,-160.4263523,,
2021-12-03 10:31:16,Dogon Gortod (Online),CHF,-53.7,,,EUR,-51.64,-54.2353475,,
2021-12-02 09:04:29,ETH -> EUR,EUR,393.0,ETH,0.098169,EUR,393.0,412.2353415,,
2021-12-02 05:03:25,Dogon Gortod (Online),CHF,-7.3,,,EUR,-7.02,-7.1256247,,
2021-12-02 01:30:34,Hempostat.Com,USD,-53.71,,,EUR,-47.53,-49.123565,,
2021-09-27 10:34:08,ETH -> EUR,EUR,284.31,ETH,0.108472,EUR,284.31,298.32153462,,
2021-09-27 03:35:20,Hempostat.Com,USD,-336.47,,,EUR,-287.61,-302.12356357,,
2021-09-08 19:23:31,ETH -> EUR,EUR,60.0,ETH,0.020333,EUR,60.0,63.13253461,,
2021-09-08 12:27:29,Dogon Gortod (Online),CHF,-116.0,,,EUR,-106.95,-112.2315631,,
2021-09-07 09:09:16,ETH -> EUR,EUR,150.0,ETH,0.047769,EUR,150.0,157.2351234,,
2021-09-07 02:14:41,Dogon Gortod (Online),CHF,-106.4,,,EUR,-98.21,-103.12335434165,,
2021-09-04 07:12:48,Www.Hempostat.Com,CHF,-64.58,,,EUR,-59.53,-62.132513,,
2021-09-02 01:10:24,Hempostat.Com,USD,-8.15,,,EUR,-6.91,-7.1235315,,
2021-09-02 00:03:54,Hempostat.Com,USD,-130.24,,,EUR,-110.45,-115.12353124,,
2021-09-01 17:31:08,ETH -> EUR,EUR,200.0,ETH,0.064724,EUR,200.0,210.123453142,,
2021-09-01 10:33:11,Www.Hempostat.Com,USD,-18.94,,,EUR,-16.06,-16.214§4,,
